 이용건수,이동거리(M),이용시간(분),고장구분,cluster,pca_x,pca_y
153379,348418880.81,3003182,707,3,51372911.470724255,3304.158392121133
152244,343696892.47,2946798,599,3,46650618.61578934,-14122.765008211958
147758,329893891.05,2868425,630,3,32847439.494713582,21322.501663153136
112326,282647690.1,2442514,456,1,-14400676.538540179,-15444.481575313315
96073,253786913.62,2113552,344,1,-43263188.279844835,-106537.20287578448
145549,319670733.93,2764596,657,3,22623773.615101103,1835.9229940559035
153586,343102267.2,2950708,728,3,46056046.29733406,-5273.983189278665
155570,336091148.36,2927966,683,3,39044979.38408949,29896.87084178592
9333,16547880.78,151243,16,2,-280510352.2537026,-112624.05293339436
47227,97560419.11,931675,172,2,-199494124.590766,-36.654535728354915
102782,280103152.01,2449266,397,1,-16945075.54271685,12066.277958333381
119032,354994519.37,2959479,502,3,57947953.99078911,-95497.47334271675
156349,383679291.68,3310846,707,3,86634659.49075125,19967.01975364297
132092,371903597.13,3103272,534,3,74857646.04880564,-90963.99202877117
169883,392425093.72,3350007,807,3,95380491.20704064,-12720.50375876987
170943,391544319.62,3337697,768,3,94499645.95597515,-17731.862709757395
161694,355802973.1,3118587,689,3,58757706.75107927,57942.143985298135
134300,353351477.74,3073002,496,3,56305909.64671163,31923.598739795223
122591,345483575.59,2867751,478,3,48436578.94699128,-108621.43229497399
163978,370498417.51,3153893,716,3,73452942.58176786,-27974.46368981193
101676,189480194.59,1695550,376,1,-107571162.14233176,6402.888134303946
57839,99168529.22,868992,202,2,-197886582.52298844,-75705.43423532452
148740,336753536.01,2968146,696,3,39707673.475115225,64427.85368803829
173590,411612714.25,3601538,768,3,114569533.6638491,80479.83362522819
149424,409408134.68,3586467,560,3,112364896.66215602,83007.32188959964
126013,353673962.15,2989965,544,3,56627695.5166761,-53951.596476946295
66913,144764348.19,1293830,299,2,-152288810.09419733,-27045.32041932637
63963,128808808.75,1125515,223,2,-168245195.0725786,-63710.49804736928
100737,199769744.06,1749097,442,1,-97281521.8777099,-25001.268548392854
187062,468156538.6,4019301,935,0,171114881.76529986,31833.147975451597
196232,483391585.91,4159738,1013,0,186350571.3872876,46729.50659537043
167368,482991101.54,4246859,613,0,185950809.22673926,136410.265820208
136336,400545350.56,3422537,512,3,103501058.14333408,-8055.192524118421
178035,420838976.58,3577442,765,0,123795284.58425954,-19633.12502134777
174695,393480634.09,3370243,845,3,96436164.13621092,-1082.4987983022359
187664,438881306.36,3738905,958,0,141838334.60557345,-6872.332864674038
131815,319553834.4,2885421,387,3,22507869.72069429,123243.99517730493
196669,478341785.69,4099902,459,0,181300449.886656,28595.849014197393
167330,470475930.17,4110105,370,0,173434936.3947359,102977.49315651029
153528,463838901.78,3910382,338,0,166796482.40514636,-42250.494551737844
199360,483264110.91,4093702,581,0,186222557.25447637,-18154.496532319357
201160,482086444.74,4033349,600,0,185044434.12941104,-68724.16519125098
53258,99591799.04,805851,129,2,-197463849.347843,-142431.25113591136
194663,473403884.02,4041568,556,0,176362234.6786984,10979.718972648483
116771,262354973.07,2317968,283,1,-34693727.94745616,27618.175644968596
94642,222797997.65,2025667,197,1,-74251774.03171317,61293.61297002942
135098,400407822.46,3414147,328,3,103363465.1201633,-15338.118749442418
200340,491390606.1,4142659,598,0,194349179.71247956,-36249.95006373178
202883,484807310.09,4070014,613,0,187765509.74355608,-54481.62186951738
37780,78610458.94,680426,72,2,-218445514.41314977,-95058.51627799869
198837,479833100.67,4124165,516,0,182791914.89012244,40597.93022501423
210999,524771942.89,4535173,558,0,227732619.95298004,80930.68313710703
186456,540938082.31,4815794,453,0,243900514.4544634,227444.31274856225
167382,523123013.25,4534896,429,0,226083729.31976557,93179.8293172884
157391,338987157.79,2984048,472,3,41941353.26103852,62106.933275431875
27143,49454008.0,475085,47,2,-247602669.2377248,-59993.326948031536
141357,331293986.56,3028422,359,3,34248804.49094458,169552.6620942052
126055,384716349.36,3333043,298,3,87671854.56278837,32847.86013539989
103986,367757662.49,3047745,246,3,70711385.14773822,-112956.23267317563
103692,328165435.27,2747377,279,3,31118029.38582702,-86513.01161664414
151018,494800558.5,4288406,429,0,197760201.00979444,80085.9687827035
171032,551504214.61,4813993,523,0,254466266.78608745,138069.6907374763
167054,514420213.18,4446930,508,0,217380500.15935683,77051.42959110567
132535,276896996.59,2450109,449,1,-20151104.6744751,40103.62983274538
186078,427653059.41,3689264,781,0,130610060.17941804,36120.0727166828
200071,470346632.32,4115680,666,0,173305700.08128348,110428.96909587202
176984,483885439.7,4599293,506,0,186848026.41442382,481582.2307134138
141611,402787905.45,3509520,395,3,105744255.72603631,60523.24590893051
151128,448600103.21,3973112,461,0,151558719.2961139,146149.55368896786
195284,466497469.01,3998915,799,0,169455703.37693152,25348.557669264792
204171,488517864.85,4161030,1171,0,191476689.0976804,5915.633542798265
201392,483603431.77,4133966,1066,0,186562199.2725228,19346.021259630987
203658,488364322.35,4235831,939,0,191323768.46905902,81945.44284363529
111636,289058417.83,2566127,357,1,-7989148.053092582,55207.76351019976
159329,470816768.11,4149208,637,0,173776082.44713646,139056.24863903443
189740,445545964.95,3776275,1021,0,148503075.07655397,-24460.561308940883
191773,447249330.78,3807969,978,0,150206644.93872425,-6783.206156304004
193917,456275781.38,3900103,935,0,159233548.59514853,10886.00393291656
118197,267150634.81,2386956,461,1,-29897660.168439712,57044.052914421205
170242,373743001.03,3292519,744,3,76698560.85865465,83985.09396326644
132498,336297580.85,3081833,481,3,39252665.782640226,181436.0987364464
134063,374062443.88,3292261,538,3,77017978.36893007,80194.51513279471
184117,428360167.81,3672129,868,0,131317002.53141181,13107.240673431928
187762,428593216.91,3683925,766,0,131550142.20772439,23066.427064664942
192775,446531964.63,3852331,831,0,149489669.3759283,43508.218513713815
164553,346301801.17,3022840,597,3,49256069.844667055,40702.573348057114
192263,451078907.89,3967131,774,0,154037404.2556078,120734.875120083
160763,428362380.15,3851479,518,0,131320685.77454944,191799.02024669596
147449,420056039.41,3695100,526,0,123013333.87387103,103687.54193655285
186952,435535832.23,3728376,792,0,138492887.34899402,10191.55451297157
193104,445172514.72,3803222,749,0,148129860.91972673,5642.345315028905
187985,419155843.75,3595086,732,0,122112357.96411495,12140.70007155539
